"","age.resp","books.per.year"
"1673",56,30
"1674",49,50
"1675",47,55
"1676",30,45
"1677",56,50
"1678",74,10
"1679",62,40
"1680",30,30
"1681",23,8
"1682",66,15
"1683",50,50
"1684",65,25
"1685",50,100
"1686",57,20
"1687",58,24
"1688",54,12
"1689",27,35
"1690",56,25
"1691",69,15
"1692",37,6
"1693",33,45
"1694",73,50
"1695",41,20
"1696",28,20
"1697",37,12
"1698",76,60
"1699",20,25
"1700",60,30
"1701",64,35
"1702",56,76
"1703",22,12
"1704",35,120
"1705",59,75
"1706",32,30
"1707",45,30
"1708",35,12
"1709",22,50
"1710",57,50
"1711",56,100
"1712",63,70
"1713",47,12
"1714",72,25
"1715",70,30
"1716",68,25
"1717",25,8
"1718",60,50
"1719",78,40
"1720",43,15
"1721",63,40
"1722",41,25
"1723",63,80
"1724",18,120
"1725",24,100
"1726",45,45
"1727",54,25
"1728",53,10
"1729",61,25
"1730",57,50
"1731",44,15
"1732",63,10
"1733",53,15
"1734",65,5
"1735",33,10
"1736",22,50
"1737",30,20
"1738",67,30
"1739",49,4
"1740",40,8
"1741",73,12
"1742",68,25
"1743",57,30
"1744",62,15
"1745",45,20
"1746",76,30
"1747",56,60
"1748",49,20
"1749",32,10
"1750",66,5
"1751",66,25
"1752",62,10
"1753",72,35
"1754",80,10
"1755",56,40
"1756",68,18
"1757",68,14
"1758",63,30
"1759",58,45
"1760",44,25
"1761",56,50
"1762",31,3
"1763",40,8
"1764",74,12
"1765",74,10
"1766",75,15
"1767",23,15
"1768",49,50
"1769",56,20
"1770",33,100
"1771",47,40
"1772",31,70
"1773",52,40
"1774",50,30
"1775",48,25
"1776",54,55
"1777",55,12
"1778",63,10
"1779",63,20
"1780",60,50
"1781",50,50
"1782",64,6
"1783",65,30
"1784",56,25
"1785",71,20
"1786",68,5
"1787",65,50
"1788",54,30
"1789",59,50
"1790",37,25
"1791",69,36
"1792",68,30
"1793",29,40
"1794",48,12
"1795",29,12
"1796",26,20
"1797",32,24
"1798",54,18
"1799",78,10
"1800",27,40
"1801",37,20
"1802",71,15
"1803",39,24
"1804",28,70
"1805",60,3
"1806",56,30
"1807",51,20
"1808",48,30
"1809",66,10
"1810",23,20
"1811",55,15
"1812",65,20
"1813",55,100
"1814",61,20
"1815",44,35
