"","Fiction","Other","Romantic","Suspense"
"923",8,2,0,0
"924",18,5,0,8
"925",18,1,0,16
"926",20,2,0,0
"927",8,1,0,1
"928",4,1,0,1
"929",3,0,0,0
"930",3,1,0,3
"931",21,1,0,3
"932",10,0,0,0
"933",12,3,0,19
"934",14,0,0,11
"935",6,3,0,10
"936",33,1,0,3
"937",25,4,3,7
"938",28,2,0,6
"939",21,1,0,8
"941",9,3,14,60
"942",10,1,0,4
"943",13,0,0,1
"944",42,0,0,11
"945",19,6,0,40
"946",2,0,0,0
"947",10,4,0,23
"948",29,3,14,95
"949",4,1,0,0
"950",11,1,0,2
"951",25,2,0,21
"952",7,1,0,8
"953",6,1,0,1
"954",10,0,0,0
"955",0,1,0,0
"956",30,0,12,32
"957",19,2,1,13
"958",4,1,0,0
"960",20,1,0,1
"961",2,0,0,16
"962",15,2,0,5
"963",7,1,0,6
"964",18,3,0,23
"965",21,1,1,0
"966",26,4,1,10
"967",5,0,0,0
"968",7,0,0,3
"969",1,0,0,0
"970",13,3,0,44
"971",10,0,3,1
"972",32,3,0,12
"973",25,0,0,16
"974",31,1,4,53
"975",1,5,0,1
"976",9,0,0,0
"977",2,0,0,0
"978",21,4,17,31
"979",24,1,0,22
"980",4,1,0,5
"981",21,0,0,0
"982",2,2,0,3
"984",26,2,0,8
"985",4,0,0,0
"986",32,4,8,3
"987",47,3,0,7
"988",4,0,0,1
"989",6,1,0,4
"990",14,0,0,4
"991",1,0,0,2
"992",18,2,0,36
"993",14,1,0,1
"995",1,0,0,0
"996",10,4,0,6
"997",12,0,0,1
"998",2,0,0,1
"999",12,0,0,0
"1000",16,0,0,3
"1001",20,2,0,13
"1002",5,4,1,50
"1003",11,2,0,0
"1004",19,0,1,15
"1005",0,6,0,2
"1006",25,0,0,1
"1007",2,0,0,2
"1009",35,1,0,3
"1010",4,1,0,26
"1011",1,1,0,0
"1012",14,2,0,6
"1013",17,0,0,5
"1014",12,5,0,1
"1015",21,1,0,0
"1016",0,0,0,3
"1017",33,2,1,0
"1018",10,0,0,21
"1019",14,2,0,5
"1020",23,3,3,10
"1021",7,4,1,15
"1022",11,2,0,1
"1024",4,0,0,0
"1025",26,3,2,31
"1026",45,1,0,57
"1027",9,1,0,10
"1028",15,0,0,5
"1029",10,2,0,2
"1030",9,1,0,0
"1031",8,1,0,2
"1032",17,1,0,0
"1033",26,1,0,3
"1034",29,1,0,7
"1035",30,2,0,3
"1036",10,3,0,10
"1037",24,2,0,12
"1038",1,0,0,0
"1039",44,1,0,5
"1040",11,7,0,54
"1041",3,4,13,38
"1042",24,2,0,48
"1043",2,0,0,3
"1044",24,8,13,4
"1045",22,2,0,6
"1046",8,0,0,0
"1047",21,4,0,21
"1048",1,0,0,4
"1049",2,0,1,29
"1050",24,3,0,9
"1051",26,2,0,8
"1052",21,1,0,3
"1053",2,4,14,4
"1054",5,1,0,0
"1055",6,0,1,21
"1056",9,1,0,0
"1057",8,4,0,12
"1058",1,1,0,0
"1059",16,0,1,32
"1060",21,0,1,0
"1061",16,5,0,13
"1062",22,1,0,2
"1063",1,3,0,1
"1064",10,4,9,6
"1065",3,2,0,1
"1066",54,4,0,8
"1067",10,1,0,0
"1068",34,1,2,24
"1069",5,0,0,2
"1070",3,0,0,8
"1071",17,1,0,5
"1072",0,1,0,0
"1073",21,1,0,0
"1074",1,7,0,18
"1075",4,0,0,4
"1076",36,4,0,8
"1077",6,0,0,0
"1078",1,5,0,6
"1079",8,1,0,2
"1081",18,1,0,4
"1082",11,1,0,5
"1083",34,0,0,29
"1085",21,0,0,0
"1086",27,1,0,16
"1087",4,0,0,0
"1088",3,2,5,0
"1089",47,3,1,19
"1090",10,0,0,1
"1092",31,1,0,1
"1093",1,0,0,0
"1094",20,1,3,18
"1095",25,0,0,2
"1096",8,0,0,9
"1097",28,1,0,1
"1098",11,0,0,17
"1099",21,0,0,37
"1100",13,2,3,28
"1101",11,0,0,1
"1102",38,0,0,2
"1103",13,2,0,3
"1105",2,5,1,52
"1106",13,0,0,29
"1107",46,2,0,4
"1108",13,0,5,46
"1109",13,2,0,8
"1110",3,0,0,0
"1111",21,0,0,2
"1112",8,0,0,7
"1113",16,1,0,0
"1114",22,2,0,6
"1115",6,2,0,27
"1116",7,3,0,13
"1117",32,2,0,7
"1119",6,1,0,0
"1120",22,0,0,5
"1121",21,5,0,4
"1122",20,1,0,1
"1123",31,2,2,27
"1124",6,1,0,17
"1125",41,4,0,38
"1126",17,3,3,10
"1127",5,0,0,3
"1128",58,2,8,73
"1129",30,3,0,31
"1130",12,3,0,5
"1131",16,0,0,0
"1132",7,0,0,1
"1133",20,2,1,5
"1134",54,2,0,9
"1135",10,0,0,59
"1136",30,2,0,14
"1137",17,3,0,6
"1138",19,2,0,0
"1139",5,1,0,1
"1140",20,2,0,2
"1141",17,1,0,3
"1142",18,1,0,11
"1143",7,0,0,0
"1144",21,1,0,16
"1145",13,2,15,28
"1146",5,1,0,0
"1147",35,1,0,3
"1148",20,2,0,0
"1149",22,0,0,10
"1150",8,3,4,5
"1151",5,0,0,3
"1152",5,0,0,0
"1153",7,1,0,1
"1154",25,0,0,3
"1155",21,2,0,9
"1156",22,2,1,35
"1157",29,1,0,1
"1158",15,1,0,0
"1159",34,1,0,3
"1160",4,0,0,14
"1161",28,2,0,0
"1162",26,2,2,24
"1163",29,3,0,0
"1164",23,2,1,1
"1165",24,6,0,43
"1166",9,1,0,29
"1167",42,3,3,11
"1168",15,1,0,7
"1169",7,5,3,7
"1170",17,4,1,4
"1171",11,1,0,29
"1172",6,1,0,4
"1173",4,0,0,11
"1175",10,1,0,0
"1176",34,4,3,24
"1177",1,3,1,6
"1178",11,0,0,0
"1179",31,2,0,16
"1180",8,9,1,26
"1181",0,3,0,0
"1182",18,4,1,51
"1183",3,1,0,0
"1184",22,1,0,18
"1185",5,1,0,6
"1186",14,4,5,21
"1187",11,0,0,4
"1188",10,1,1,4
"1189",12,1,0,0
"1190",13,2,0,0
"1191",3,0,1,6
"1192",11,1,0,26
"1193",8,1,0,0
"1195",1,1,0,0
"1196",8,5,0,7
"1197",6,3,0,27
"1198",21,0,4,35
"1199",21,0,0,2
"1200",24,1,1,12
"1201",71,6,0,40
"1202",31,5,2,48
"1203",16,3,0,20
"1204",0,1,0,0
"1205",5,0,0,0
"1206",1,0,0,0
"1207",5,5,0,4
"1208",52,1,0,34
"1209",10,2,0,1
"1210",6,0,0,5
"1212",8,0,0,1
"1213",24,1,0,14
"1214",2,2,0,2
"1216",19,1,0,3
"1217",23,1,8,28
"1218",5,1,0,1
"1219",18,2,0,21
"1220",17,1,0,5
"1221",19,2,0,5
"1222",13,0,0,0
"1223",24,2,0,0
"1224",23,5,1,7
"1225",19,3,0,4
"1226",1,1,0,3
"1227",4,1,0,36
"1228",12,1,0,1
"1229",38,3,0,16
"1230",34,0,0,0
"1231",12,2,1,18
"1232",10,1,9,33
"1233",27,2,2,21
"1234",5,4,0,8
"1235",31,1,0,27
"1236",62,8,0,34
"1237",3,0,0,2
"1238",24,0,0,4
